A,B,FT,STREETNAME,TYPE,MTYPE,DISTANCE,LANE_AM,LANE_OP,LANE_PM,EA_PCE,AM_PCE,MD_PCE,PM_PCE,EV_PCE,DAY_PCE
20060000,20061000,11,HARBOR,RD,SF,0.24,1,1,1,27.46884,243.93735,439.33377,201.48967,223.04996,1135.27954
20060000,20078000,11,NORTHRIDGE,RD,SF,0.14,1,1,1,2.45964,24.52797,54.55569,31.0985,29.12711,141.76892
20061000,20060000,11,HARBOR,RD,SF,0.24,1,1,1,17.75616,90.36992,424.03604,264.49573,325.59009,1122.24792
20061000,20085000,4,INGALLS,ST,SF,0.07,1,1,1,38.47063,82.68082,175.68036,95.2646,119.87512,511.97153
20061000,20086000,11,HARBOR,RD,SF,0.09,1,1,1,0,0,0,0,0,0
20061000,20175000,4,INGALLS,ST,SF,0.06,1,1,1,53.00746,316.33649,616.87115,289.01926,347.26721,1622.50159
20064000,20065000,11,OAKDALE,AVE,SF,0.15,1,1,1,20.4,27.87214,68.43,25.56321,51.63036,193.89571
20064000,20131000,11,OAKDALE,AVE,SF,0.1,1,1,1,21.78325,237.96021,456.72327,231.21451,264.21329,1211.89453
20064000,50768000,11,BALDWIN,CT,SF,0.09,1,1,1,15.01037,121.99168,469.98499,283.2475,311.15314,1201.3877
20065000,20064000,11,OAKDALE,AVE,SF,0.15,1,1,1,2.4775,7.23536,26.08036,9.43234,16.38571,61.61127
20065000,20066000,11,GRIFFITH,ST,SF,0.06,1,1,1,0,0,0,0,0,0
20065000,33127000,11,GRIFFITH,ST,SF,0.04,1,1,1,20.4,27.87214,68.43,25.56321,51.63036,193.89571
20066000,20065000,11,GRIFFITH,ST,SF,0.06,1,1,1,0,0,0,0,0,0
20066000,50769000,11,NAVY,RD,SF,0.12,1,1,1,0,0,0,0,0,0
20067000,20075000,11,GRIFFITH,ST,SF,0.05,1,1,1,0.09,0.225,1.42571,1.2702,0.85214,3.86306
20067000,20076000,11,REVERE,AVE,SF,0.1,1,1,1,24.41176,65.02852,351.26849,198.30922,252.77246,891.79047
20067000,20116000,11,GRIFFITH,ST,SF,0.05,1,1,1,0.83,4.33571,8.83393,2.83571,5.09393,21.92929
20067000,33141000,11,REVERE,AVE,SF,0.13,1,1,1,0,0,0,0,0,0
20070000,20116000,11,GRIFFITH,ST,SF,0.05,1,1,1,0.735,1.94,41.63503,5.01143,5.64214,54.9636
20070000,20121000,11,THOMAS,AVE,SF,0.13,1,1,1,7.41392,30.34381,94.45989,76.23579,79.90529,288.3587
20072000,20073000,4,PALOU,AVE,SF,0.02,1,1,1,0.24244,2.2317,4.8081,2.74225,2.26441,12.2889
20072000,20118000,4,PALOU,AVE,SF,0.11,1,1,1,18.16397,18.85888,46.24552,22.74319,38.58286,144.59442
20073000,20072000,4,PALOU,AVE,SF,0.02,1,1,1,18.16397,18.85888,46.24552,22.74319,38.58286,144.59442
20073000,20074000,11,CRISP,RD,SF,0.1108,1,1,1,0.18103,0.75152,5.71325,2.56627,3.92548,13.13755
20073000,20075000,11,GRIFFITH,ST,SF,0.05,1,1,1,2.87244,11.11421,32.15572,9.76464,19.47786,75.38486
20073000,33127000,11,GRIFFITH,ST,SF,0.01,1,1,1,2.4775,7.23536,26.08036,9.43234,16.38571,61.61127
20073000,51650000,11,PALOU,AVE,SF,0.1,1,1,1,0,0,0,0,0,0
20073000,51674000,4,CRISP,RD,SF,0.5572,1,1,1,1.52416,4.6071,11.12074,3.47162,6.54364,27.26725
20074000,20073000,11,CRISP,RD,SF,0.1108,1,1,1,1.23416,2.12925,5.87836,1.75508,3.94709,14.94392
20074000,20075000,11,QUESADA,AVE,SF,0.1,1,1,1,9.45256,88.25513,275.86511,107.5377,96.97472,578.08521
20074000,20076000,11,CRISP,RD,SF,0.05,1,1,1,0.18103,0.73652,5.63825,2.55127,3.88048,12.98755
20074000,20117000,11,QUESADA,AVE,SF,0.03,1,1,1,42.4136,130.28757,561.41022,330.07819,363.94711,1428.13672
20075000,20067000,11,GRIFFITH,ST,SF,0.05,1,1,1,0.075,2.46571,4.12321,0.475,2.90321,10.04214
20075000,20073000,11,GRIFFITH,ST,SF,0.05,1,1,1,2.71087,7.98921,28.88036,10.92556,18.20036,68.70634
20075000,20074000,11,QUESADA,AVE,SF,0.1,1,1,1,42.4136,130.27257,561.33521,330.0632,363.9021,1427.98669
20075000,33140000,11,QUESADA,AVE,SF,0.13,1,1,1,0,0,0,0,0,0
20076000,20067000,11,REVERE,AVE,SF,0.1,1,1,1,84.05441,373.70532,697.91431,169.74446,450.41928,1775.83777
20076000,20074000,11,CRISP,RD,SF,0.05,1,1,1,1.23416,1.98925,5.80336,1.74008,3.90209,14.66892
20076000,20120000,11,REVERE,AVE,SF,0.02,1,1,1,24.59279,65.76504,356.90674,200.86049,256.65295,904.77802
20077000,20058000,11,KISKA,RD,SF,0.15,1,1,1,1.87572,17.88926,75.84128,59.34932,58.65691,213.61249
20077000,20078000,4,INGALLS,ST,SF,0.04,1,1,1,6.76719,35.77652,108.28506,48.42657,67.03082,266.28616
20077000,20081000,4,INGALLS,ST,SF,0.03,1,1,1,14.6147,111.72758,215.88208,105.88673,137.18141,585.29248
20078000,20060000,11,NORTHRIDGE,RD,SF,0.14,1,1,1,0.935,26.9356,75.68771,42.99054,56.86917,203.41801
20078000,20077000,4,INGALLS,ST,SF,0.04,1,1,1,7.95063,40.51865,99.17098,49.10527,62.67704,259.42258
20078000,20084000,11,ROSIE LEE,LN,SF,0.02,1,1,1,0,0,0,0,0,0
20078000,20085000,4,INGALLS,ST,SF,0.06,1,1,1,8.3879,43.5627,142.39861,63.34579,87.37257,345.06757
20081000,20077000,4,INGALLS,ST,SF,0.03,1,1,1,8.64291,53.66577,184.12634,107.77589,125.68773,479.89865
20081000,20082000,11,BEATRICE,LN,SF,0.02,1,1,1,0,0,0,0,0,0
20081000,20126000,4,INGALLS,ST,SF,0.09,1,1,1,14.6147,111.72758,215.88208,105.88673,137.18141,585.29248
20082000,20081000,11,BEATRICE,LN,SF,0.02,1,1,1,0,0,0,0,0,0
20082000,20083000,11,ESPANOLA,ST,SF,0.03,1,1,1,0,0,0,0,0,0
20082000,20089000,11,BEATRICE,LN,SF,0.07,1,1,1,0,0,0,0,0,0
20083000,20082000,11,ESPANOLA,ST,SF,0.03,1,1,1,0,0,0,0,0,0
20083000,20084000,11,ESPANOLA,ST,SF,0.03,1,1,1,0,0,0,0,0,0
20083000,50773000,11,MATTHEW,CT,SF,0.02,1,1,1,0,0,0,0,0,0
20084000,20078000,11,ROSIE LEE,LN,SF,0.02,1,1,1,0,0,0,0,0,0
20084000,20083000,11,ESPANOLA,ST,SF,0.03,1,1,1,0,0,0,0,0,0
20084000,20090000,11,ROSIE LEE,LN,SF,0.06,1,1,1,0,0,0,0,0,0
20085000,20061000,4,INGALLS,ST,SF,0.07,1,1,1,25.53862,72.39915,177.53738,87.52958,124.21725,487.22198
20085000,20078000,4,INGALLS,ST,SF,0.06,1,1,1,8.0467,50.71247,154.41655,75.91653,110.76085,399.85309
20085000,20087000,11,HUDSON,AVE,SF,0.03,1,1,1,33.79464,75.81443,149.58685,87.19462,94.15412,440.54468
20085000,50771000,11,HUDSON,AVE,SF,0.06,1,1,1,0,0,0,0,0,0
20086000,20061000,11,HARBOR,RD,SF,0.09,1,1,1,0,0,0,0,0,0
20086000,20087000,11,BERTHA,LN,SF,0.14,1,1,1,0,0,0,0,0,0
20087000,20085000,11,HUDSON,AVE,SF,0.03,1,1,1,20.52143,72.68252,163.46182,92.03033,121.88453,470.58063
20087000,20086000,11,BERTHA,LN,SF,0.14,1,1,1,0,0,0,0,0,0
20087000,20188000,11,HUDSON,AVE,SF,0.15,1,1,1,33.79464,75.81443,149.58685,87.19462,94.15412,440.54468
20089000,20082000,11,BEATRICE,LN,SF,0.07,1,1,1,0,0,0,0,0,0
20089000,20090000,11,LILLIAN,ST,SF,0.06,1,1,1,0,0,0,0,0,0
20089000,50774000,11,BEATRICE,LN,SF,0.03,1,1,1,0,0,0,0,0,0
20090000,20084000,11,ROSIE LEE,LN,SF,0.06,1,1,1,0,0,0,0,0,0
20090000,20089000,11,LILLIAN,ST,SF,0.06,1,1,1,0,0,0,0,0,0
20090000,50772000,11,ROSIE LEE,LN,SF,0.03,1,1,1,0,0,0,0,0,0
20092000,33145000,4,ARELIOUS WALKER,ST,SF,0.11,3,3,3,0.195,0.73744,2.66408,0.90672,1.395,5.89824
20092000,33219000,11,EGBERT,AVE,SF,0.13,1,1,1,4.11589,16.66206,42.83556,14.88369,19.24936,97.74655
20092000,33220000,4,ARELIOUS WALKER,ST,SF,0.05,1,1,1,0.14411,0.20179,0.54105,0.17075,0.45674,1.51444
20093000,20110000,4,CARROLL,AVE,SF,0.13,3,3,3,0,0.11744,0.61515,0.25101,0.315,1.2986
20093000,52760000,4,CARROLL,AVE,SF,0.0108,1,1,1,4.015,16.57885,42.2141,14.70694,19.0761,96.59099
20096000,20097000,4,GILMAN,AVE,SF,0.09,1,1,1,0.12,36.66,53.9275,33.20143,52.4425,176.35143
20096000,20105000,11,GRIFFITH,ST,SF,0.04,1,1,1,11.36223,120.85234,54.12739,35.42035,280.53094,502.29324
20096000,20438000,4,GILMAN,AVE,SF,0.13,2,2,2,1.26263,7.74481,41.59383,31.99902,23.09254,105.69283
20097000,20011000,4,GIANTS,DR,SF,0.11,1,1,1,0.12,36.66,53.9275,33.20143,52.4425,176.35143
20097000,20096000,4,GILMAN,AVE,SF,0.09,2,2,2,4.23763,19.33017,92.87411,60.0158,49.87111,226.32883
20097000,33221000,4,GILMAN,AVE,SF,0.04,1,1,1,4.31261,105.84005,67.06647,28.22407,19.97689,225.42009
20098000,20100000,11,CAMERON,WY,SF,0.04,1,1,1,0,0,0,0,0,0
20098000,20105000,11,GRIFFITH,ST,SF,0.15,1,1,1,0,0,0,0,0,0
20099000,20100000,11,NICHOLS,WY,SF,0.17,1,1,1,0,0,0,0,0,0
20099000,20104000,11,CAMERON,WY,SF,0.04,1,1,1,0,0,0,0,0,0
20099000,20108000,11,CAMERON,WY,SF,0.05,1,1,1,0,0,0,0,0,0
20100000,20098000,11,CAMERON,WY,SF,0.04,1,1,1,0,0,0,0,0,0
20100000,20099000,11,NICHOLS,WY,SF,0.17,1,1,1,0,0,0,0,0,0
